handle,field,default content (en),translated content (ar)
the-animal-family,body_html,"<p>The Animal Family — a fun sheet of peel-and-stick designs.</p><p>Great for decorating journals, laptops, school books and reward charts. An easy little gift for kids.</p>",<p>ملصقات — ورقة ملصقات ممتعة تُقشر وتُلصق بسهولة.</p><p>لتزيين الدفاتر والأجهزة وكتب المدرسة ولوحات التحفيز. هدية صغيرة تُفرح الأطفال.</p>
nekoni-lovley-bunny,title,Nekoni Lovely Bunny,ملصقات Nekoni — Lovely Bunny
nekoni-lovley-bunny,body_html,"<p>Nekoni Lovely Bunny — a fun sheet of peel-and-stick designs.</p><p>Great for decorating journals, laptops, school books and reward charts. An easy little gift for kids.</p>",<p>ملصقات Nekoni — ورقة ملصقات ممتعة تُقشر وتُلصق بسهولة.</p><p>لتزيين الدفاتر والأجهزة وكتب المدرسة ولوحات التحفيز. هدية صغيرة تُفرح الأطفال.</p>
nekoni-lovely-puppy,title,Nekoni Lovely Puppy,ملصقات Nekoni — Lovely Puppy
nekoni-lovely-puppy,body_html,"<p>Nekoni Lovely Puppy — a fun sheet of peel-and-stick designs.</p><p>Great for decorating journals, laptops, school books and reward charts. An easy little gift for kids.</p>",<p>ملصقات Nekoni — ورقة ملصقات ممتعة تُقشر وتُلصق بسهولة.</p><p>لتزيين الدفاتر والأجهزة وكتب المدرسة ولوحات التحفيز. هدية صغيرة تُفرح الأطفال.</p>
gift-scratch-card,title,Gift Scratch Art Card Set,طقم كرافت
gift-scratch-card,body_html,"<p>Gift Scratch Art Card Set — a make-it-yourself craft project.</p><p>Follow along, make something real, and keep it (or gift it).</p>",<p>طقم كرافت — مشروع كرافت تصنعه بنفسك.</p><p>اتبع الخطوات واصنع شيئًا حقيقيًا تحتفظ به أو تهديه.</p>
to-make-each-day-count,title,To Make Each Day Count — Style 1,ملصقات تصميم ١
to-make-each-day-count,body_html,"<p>To Make Each Day Count — a fun sheet of peel-and-stick designs.</p><p>Great for decorating journals, laptops, school books and reward charts. An easy little gift for kids.</p>",<p>ملصقات تصميم ١ — ورقة ملصقات ممتعة تُقشر وتُلصق بسهولة.</p><p>لتزيين الدفاتر والأجهزة وكتب المدرسة ولوحات التحفيز. هدية صغيرة تُفرح الأطفال.</p>
to-make-each-day-count-2,title,To Make Each Day Count — Style 2,ملصقات تصميم ٢
to-make-each-day-count-2,body_html,"<p>To Make Each Day Count — a fun sheet of peel-and-stick designs.</p><p>Great for decorating journals, laptops, school books and reward charts. An easy little gift for kids.</p>",<p>ملصقات تصميم ٢ — ورقة ملصقات ممتعة تُقشر وتُلصق بسهولة.</p><p>لتزيين الدفاتر والأجهزة وكتب المدرسة ولوحات التحفيز. هدية صغيرة تُفرح الأطفال.</p>
to-make-each-day-count-3,title,To Make Each Day Count — Style 3,ملصقات تصميم ٣
to-make-each-day-count-3,body_html,"<p>To Make Each Day Count — a fun sheet of peel-and-stick designs.</p><p>Great for decorating journals, laptops, school books and reward charts. An easy little gift for kids.</p>",<p>ملصقات تصميم ٣ — ورقة ملصقات ممتعة تُقشر وتُلصق بسهولة.</p><p>لتزيين الدفاتر والأجهزة وكتب المدرسة ولوحات التحفيز. هدية صغيرة تُفرح الأطفال.</p>
to-make-each-day-count-4,title,To Make Each Day Count — Style 4,ملصقات تصميم ٤
to-make-each-day-count-4,body_html,"<p>To Make Each Day Count — a fun sheet of peel-and-stick designs.</p><p>Great for decorating journals, laptops, school books and reward charts. An easy little gift for kids.</p>",<p>ملصقات تصميم ٤ — ورقة ملصقات ممتعة تُقشر وتُلصق بسهولة.</p><p>لتزيين الدفاتر والأجهزة وكتب المدرسة ولوحات التحفيز. هدية صغيرة تُفرح الأطفال.</p>
to-make-each-day-count-5,title,To Make Each Day Count — Style 5,ملصقات تصميم ٥
to-make-each-day-count-5,body_html,"<p>To Make Each Day Count — a fun sheet of peel-and-stick designs.</p><p>Great for decorating journals, laptops, school books and reward charts. An easy little gift for kids.</p>",<p>ملصقات تصميم ٥ — ورقة ملصقات ممتعة تُقشر وتُلصق بسهولة.</p><p>لتزيين الدفاتر والأجهزة وكتب المدرسة ولوحات التحفيز. هدية صغيرة تُفرح الأطفال.</p>
to-make-each-day-count-6,title,To Make Each Day Count — Style 6,ملصقات تصميم ٦
to-make-each-day-count-6,body_html,"<p>To Make Each Day Count — a fun sheet of peel-and-stick designs.</p><p>Great for decorating journals, laptops, school books and reward charts. An easy little gift for kids.</p>",<p>ملصقات تصميم ٦ — ورقة ملصقات ممتعة تُقشر وتُلصق بسهولة.</p><p>لتزيين الدفاتر والأجهزة وكتب المدرسة ولوحات التحفيز. هدية صغيرة تُفرح الأطفال.</p>
art-smock-green,title,Mideer Art Smock — Green,مريلة رسم أخضر من Mideer
art-smock-green,body_html,<p>Mideer Art Smock — Green to keep clothes clean during painting.</p><p>Lets young artists get properly messy without the laundry drama. From Mideer.</p>,<p>مريلة رسم أخضر من Mideer يحمي الملابس أثناء الرسم.</p><p>دع الصغار يبدعون بحرية دون قلق الغسيل.</p>
finger-painting-tool-set,title,Mideer Finger Painting Tool Set,طقم من Mideer
finger-painting-tool-set,body_html,<p>Mideer Finger Painting Tool Set — a matched set that works together.</p><p>More useful (and better value) than buying the pieces separately. From Mideer.</p>,<p>طقم من Mideer — طقم متكامل تعمل قطعه معًا.</p><p>أكثر فائدة وأفضل قيمة من شراء القطع متفرقة.</p>
finger-paint-6-colors,title,Mideer Finger Paint — 6 Colours,ألوان مائية ٦ لونًا من Mideer
finger-paint-6-colors,body_html,"<p>Mideer Finger Paint — 6 Colours for bright, easy painting sessions.</p><p>Suits school projects and weekend art at home — just add water and paper. From Mideer.</p>",<p>ألوان مائية ٦ لونًا من Mideer لجلسات رسم مشرقة وسهلة.</p><p>يناسب مشاريع المدرسة وهوايات نهاية الأسبوع — فقط أضف الماء والورق.</p>
finger-paint-12-colors,title,Mideer Finger Paint — 12 Colours,ألوان مائية ١٢ لونًا من Mideer
finger-paint-12-colors,body_html,"<p>Mideer Finger Paint — 12 Colours for bright, easy painting sessions.</p><p>Suits school projects and weekend art at home — just add water and paper. From Mideer.</p>",<p>ألوان مائية ١٢ لونًا من Mideer لجلسات رسم مشرقة وسهلة.</p><p>يناسب مشاريع المدرسة وهوايات نهاية الأسبوع — فقط أضف الماء والورق.</p>
finger-paint-8-colors,title,Mideer Finger Paint — 8 Colours,ألوان مائية ٨ لونًا من Mideer
finger-paint-8-colors,body_html,"<p>Mideer Finger Paint — 8 Colours for bright, easy painting sessions.</p><p>Suits school projects and weekend art at home — just add water and paper. From Mideer.</p>",<p>ألوان مائية ٨ لونًا من Mideer لجلسات رسم مشرقة وسهلة.</p><p>يناسب مشاريع المدرسة وهوايات نهاية الأسبوع — فقط أضف الماء والورق.</p>
esy-pencil-grip-6pcs,title,Easy Pencil Grips — 6 Pieces,مساكات أقلام ٦ قطعة
esy-pencil-grip-6pcs,body_html,<p>Easy Pencil Grips — 6 Pieces that slide onto a pencil to guide little fingers.</p><p>A gentle helper for children learning to write comfortably.</p>,<p>مساكات أقلام ٦ قطعة تُركب على القلم لتوجيه الأصابع الصغيرة.</p><p>مساعد لطيف للأطفال في مرحلة تعلم الكتابة.</p>
one-piece-water-color-pen,title,One Piece Watercolour Pen Set,ألوان مائية One Piece
one-piece-water-color-pen,body_html,"<p>One Piece Watercolour Pen Set for bright, easy painting sessions.</p><p>Suits school projects and weekend art at home — just add water and paper.</p>",<p>ألوان مائية One Piece لجلسات رسم مشرقة وسهلة.</p><p>يناسب مشاريع المدرسة وهوايات نهاية الأسبوع — فقط أضف الماء والورق.</p>
lancer-clic,title,Lancer Clic Retractable Ballpoint Pen,قلم
lancer-clic,body_html,"<p>Lancer Clic Retractable Ballpoint Pen for smooth, reliable everyday writing.</p><p>A dependable pick for school, office and signatures alike.</p>",<p>قلم لكتابة يومية سلسة وموثوقة.</p><p>خيار يعتمد عليه في المدرسة والمكتب والتوقيعات.</p>
pure-spirit-pencil-case-set,title,Pure Spirit Pencil Case Set,مقلمة
pure-spirit-pencil-case-set,body_html,"<p>Pure Spirit Pencil Case Set to keep pens, pencils and small tools together.</p><p>Fits neatly in a school bag or on a desk — no more hunting for the sharpener.</p>",<p>مقلمة لتجميع الأقلام والأدوات الصغيرة في مكان واحد.</p><p>يدخل حقيبة المدرسة بسهولة — ولا مزيد من البحث عن البراية.</p>
one-piece-sticky-note,title,One Piece Sticky Notes,ملاحظات لاصقة One Piece
one-piece-sticky-note,body_html,"<p>One Piece Sticky Notes for quick reminders, page markers and desk notes that peel off cleanly.</p><p>Handy for students and office desks alike — stick them on books, screens and planners.</p>",<p>ملاحظات لاصقة One Piece للملاحظات السريعة وتعليم الصفحات، تُنزع بسهولة دون أثر.</p><p>عملية للطلاب وعلى مكاتب العمل — على الكتب والشاشات والمخططات.</p>
pen-thai,title,Character Ballpoint Pen — Style 1,قلم تصميم ١
pen-thai,body_html,"<p>Character Ballpoint Pen for smooth, reliable everyday writing.</p><p>A dependable pick for school, office and signatures alike.</p>",<p>قلم تصميم ١ لكتابة يومية سلسة وموثوقة.</p><p>خيار يعتمد عليه في المدرسة والمكتب والتوقيعات.</p>
erasable-highliter,title,Erasable Highlighter,قلم تمييز
erasable-highliter,body_html,"<p>Erasable Highlighter for marking what matters.</p><p>Bright, quick-drying colour for revision notes, documents and planners.</p>",<p>قلم تمييز لتمييز المهم في ثوانٍ.</p><p>ألوان مشرقة سريعة الجفاف للمراجعة والمستندات.</p>
quantum-writing-with-technology,title,Quantum Ballpoint Pen,قلم من Dha Siamwalla Ltd
quantum-writing-with-technology,body_html,"<p>Quantum Ballpoint Pen for smooth, reliable everyday writing.</p><p>A dependable pick for school, office and signatures alike. From Dha Siamwalla Ltd.</p>",<p>قلم من Dha Siamwalla Ltd لكتابة يومية سلسة وموثوقة.</p><p>خيار يعتمد عليه في المدرسة والمكتب والتوقيعات.</p>
compass-set,title,Geometry Compass Set,فرجار
compass-set,body_html,<p>Geometry Compass Set for geometry class and technical drawing.</p><p>Draws clean circles and arcs — a maths-set must-have.</p>,<p>فرجار لحصص الهندسة والرسم الفني.</p><p>يرسم دوائر وأقواسًا نظيفة — لا غنى عنه في علبة الأدوات.</p>
kirakoko-stickers-pink,title,Kirakoko Stickers Pink,ملصقات وردي
kirakoko-stickers-pink,body_html,"<p>Kirakoko Stickers Pink — a fun sheet of peel-and-stick designs.</p><p>Great for decorating journals, laptops, school books and reward charts. An easy little gift for kids.</p>",<p>ملصقات وردي — ورقة ملصقات ممتعة تُقشر وتُلصق بسهولة.</p><p>لتزيين الدفاتر والأجهزة وكتب المدرسة ولوحات التحفيز. هدية صغيرة تُفرح الأطفال.</p>
kirakoko-stickers-blue,title,Kirakoko Stickers Blue,ملصقات أزرق
kirakoko-stickers-blue,body_html,"<p>Kirakoko Stickers Blue — a fun sheet of peel-and-stick designs.</p><p>Great for decorating journals, laptops, school books and reward charts. An easy little gift for kids.</p>",<p>ملصقات أزرق — ورقة ملصقات ممتعة تُقشر وتُلصق بسهولة.</p><p>لتزيين الدفاتر والأجهزة وكتب المدرسة ولوحات التحفيز. هدية صغيرة تُفرح الأطفال.</p>
nekoni-36pcs,title,Nekoni — 36 Pieces,ملصقات Nekoni ٣٦ قطعة
nekoni-36pcs,body_html,"<p>Nekoni — 36 Pieces — a fun sheet of peel-and-stick designs.</p><p>Great for decorating journals, laptops, school books and reward charts. An easy little gift for kids.</p>",<p>ملصقات Nekoni ٣٦ قطعة — ورقة ملصقات ممتعة تُقشر وتُلصق بسهولة.</p><p>لتزيين الدفاتر والأجهزة وكتب المدرسة ولوحات التحفيز. هدية صغيرة تُفرح الأطفال.</p>
nekoni-cat-2,title,Nekoni Cat — Style 2,ملصقات Nekoni تصميم ٢
nekoni-cat-2,body_html,"<p>Nekoni Cat — a fun sheet of peel-and-stick designs.</p><p>Great for decorating journals, laptops, school books and reward charts. An easy little gift for kids.</p>",<p>ملصقات Nekoni تصميم ٢ — ورقة ملصقات ممتعة تُقشر وتُلصق بسهولة.</p><p>لتزيين الدفاتر والأجهزة وكتب المدرسة ولوحات التحفيز. هدية صغيرة تُفرح الأطفال.</p>
